,salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
0,1,opower,"san francisco, ca",1,37.77,-122.41,1,1,13.0,2.0,0.012159533073929961,5000.0,0.0
1,3,walmart,"bentonville, ar",1,36.36,-94.2,2,2,15.0,8.0,0.00632295719844358,21800.483568075117,5000.0
2,4,vertical knowledge,"cleveland, oh",1,41.47,-81.67,3,2,4.0,1.0,0.008365758754863813,5000.0,6000.0
3,14,casino,eastern oregon,1,38.0,-97.0,4,3,5.0,1.5,0.0038910505836575876,0.0,500.0
4,16,tetra tech,"madison, wi",1,43.1,-89.5,5,3,4.0,2.5,0.004377431906614786,0.0,1500.0
5,17,knewton,new york city,1,38.0,-97.0,6,2,8.0,2.0,0.013132295719844358,0.0,0.0
6,24,pensco trust company,"denver, co",1,39.82,-105.1,6,2,10.0,1.5,0.011673151750972763,0.0,6000.0
7,30,purdue,"west lafayette, in",1,40.44,-86.91,7,4,2.0,1.5,0.005836575875486381,21800.483568075117,8066.263736263736
8,39,magento commerce,"charleston, sc",1,32.78,-79.99,8,3,19.0,1.0,0.012743190661478599,21800.483568075117,8066.263736263736
9,40,oracle,"bala cynwyd, pa",1,40.01,-75.22,9,3,0.0,0.0,2.3346303501945527e-06,0.0,0.0
10,45,klick,"toronto, canada",2,60.0,-95.0,10,4,5.0,3.0,0.008268482490272374,0.0,5000.0
11,46,small consulting shop,"durham, nc",1,35.98,-78.91,11,2,10.0,3.5,0.014591439688715954,21800.483568075117,8066.263736263736
12,48,nbc universal,new york,1,38.0,-97.0,12,5,2.0,1.5,0.005350194552529183,0.0,0.0
13,59,quick left,boulder co,1,38.0,-97.0,2,2,6.0,1.0,0.011673151750972763,0.0,0.0
14,60,1&1 development srl,"bucharest, romania",3,21.0,57.0,13,2,5.0,2.0,0.0016793774319066148,0.0,0.0
15,62,early-stage startup,"stockholm, sweden",4,62.0,15.0,14,2,8.0,0.8,3.5505836575875485e-06,0.0,0.0
