salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
1,opower,"san francisco, ca",US,37.77,-122.41,systems engineer,Engineering,13,2,125000,5000,0
3,walmart,"bentonville, ar",US,36.36,-94.2,senior developer,Software,15,8,65000,,5000
4,vertical knowledge,"cleveland, oh",US,41.47,-81.67,software engineer,Software,4,1,86000,5000,6000
14,casino,eastern oregon,US,38,-97,it technician,Other,5,1.5,40000,0,500
16,tetra tech,"madison, wi",US,43.1,-89.5,lead interviewer,Other,4,2.5,45000,0,1500
17,knewton,new york city,US,38,-97,senior software engineer,Software,8,2,135000,0,0
24,pensco trust company,"denver, co",US,39.82,-105.1,senior software engineer,Software,10,1.5,120000,0,6000
30,purdue,"west lafayette, in",US,40.44,-86.91,web developer,Web,2,1.5,60000,,
39,magento commerce,"charleston, sc",US,32.78,-79.99,member of technical staff,Other,19,1,131000,,
40,oracle,"bala cynwyd, pa",US,40.01,-75.22,student intern co-op,Other,0,0,24,0,0
45,klick,"toronto, canada",CA,60,-95,full stack developer,Web,5,3,85000,0,5000
46,small consulting shop,"durham, nc",US,35.98,-78.91,developer,Software,10,3.5,150000,,
48,nbc universal,new york,US,38,-97,senior analyst,Data,2,1.5,55000,0,0
59,quick left,boulder co,US,38,-97,senior developer,Software,6,1,120000,0,0
60,1&1 development srl,"bucharest, romania",OM,21,57,software developer,Software,5,2,17264,0,0
62,early-stage startup,"stockholm, sweden",SE,62,15,ios developer,Software,8,0.8,36.5,0,0
64,rei systems,"sterling, va",US,38.86,-77.05,associate software engineer,Software,1,1,55000,,
69,mitsubishi hitachi power systems america,"orlando, florida",US,28.5,-81.37,steam turbine service engineer,Engineering,4,1,80001,10000,
70,startup,"detroit, mi",US,42.38,-83.1,senior engineer,Engineering,8,3,100000,0,0
74,sf startup,"san francisco, ca",US,37.77,-122.41,web developer,Web,5,0.5,125000,5000,10
77,intel,"hillsboro, oregon",US,45.52,-122.85,product development engineer,Software,2.5,2.5,82000,,
79,city of austin,"austin, tx",US,30.26,-97.74,it programmer,Other,40,15,103000,0,1500
88,early-stage startup,"denver, co",US,39.82,-105.1,director of product,Management,5,3,80000,,
