,salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
0,1,opower,"san francisco, ca",US,37.77,-122.41,systems engineer,Engineering,13.0,2.0,125000.0,5000.0,0.0
1,3,walmart,"bentonville, ar",US,36.36,-94.2,senior developer,Software,15.0,8.0,65000.0,21800.483568075117,5000.0
2,4,vertical knowledge,"cleveland, oh",US,41.47,-81.67,software engineer,Software,4.0,1.0,86000.0,5000.0,6000.0
3,14,casino,eastern oregon,US,38.0,-97.0,it technician,Other,5.0,1.5,40000.0,0.0,500.0
4,16,tetra tech,"madison, wi",US,43.1,-89.5,lead interviewer,Other,4.0,2.5,45000.0,0.0,1500.0
5,17,knewton,new york city,US,38.0,-97.0,senior software engineer,Software,8.0,2.0,135000.0,0.0,0.0
6,24,pensco trust company,"denver, co",US,39.82,-105.1,senior software engineer,Software,10.0,1.5,120000.0,0.0,6000.0
7,30,purdue,"west lafayette, in",US,40.44,-86.91,web developer,Web,2.0,1.5,60000.0,21800.483568075117,8066.263736263736
8,39,magento commerce,"charleston, sc",US,32.78,-79.99,member of technical staff,Other,19.0,1.0,131000.0,21800.483568075117,8066.263736263736
9,40,oracle,"bala cynwyd, pa",US,40.01,-75.22,student intern co-op,Other,0.0,0.0,24.0,0.0,0.0
10,45,klick,"toronto, canada",CA,60.0,-95.0,full stack developer,Web,5.0,3.0,85000.0,0.0,5000.0
11,46,small consulting shop,"durham, nc",US,35.98,-78.91,developer,Software,10.0,3.5,150000.0,21800.483568075117,8066.263736263736
12,48,nbc universal,new york,US,38.0,-97.0,senior analyst,Data,2.0,1.5,55000.0,0.0,0.0
13,59,quick left,boulder co,US,38.0,-97.0,senior developer,Software,6.0,1.0,120000.0,0.0,0.0
14,60,1&1 development srl,"bucharest, romania",OM,21.0,57.0,software developer,Software,5.0,2.0,17264.0,0.0,0.0
15,62,early-stage startup,"stockholm, sweden",SE,62.0,15.0,ios developer,Software,8.0,0.8,36.5,0.0,0.0
16,64,rei systems,"sterling, va",US,38.86,-77.05,associate software engineer,Software,1.0,1.0,55000.0,21800.483568075117,8066.263736263736
17,69,mitsubishi hitachi power systems america,"orlando, florida",US,28.5,-81.37,steam turbine service engineer,Engineering,4.0,1.0,80001.0,10000.0,8066.263736263736
18,70,startup,"detroit, mi",US,42.38,-83.1,senior engineer,Engineering,8.0,3.0,100000.0,0.0,0.0
19,74,sf startup,"san francisco, ca",US,37.77,-122.41,web developer,Web,5.0,0.5,125000.0,5000.0,10.0
20,77,intel,"hillsboro, oregon",US,45.52,-122.85,product development engineer,Software,2.5,2.5,82000.0,21800.483568075117,8066.263736263736
21,79,city of austin,"austin, tx",US,30.26,-97.74,it programmer,Other,40.0,15.0,103000.0,0.0,1500.0
22,88,early-stage startup,"denver, co",US,39.82,-105.1,director of product,Management,5.0,3.0,80000.0,21800.483568075117,8066.263736263736
23,89,social tables,washington dc,US,38.0,-97.0,engineer,Engineering,2.0,1.0,80000.0,5000.0,8066.263736263736
24,90,loyalty new zealand,"wellington, new zealand",NZ,-41.0,174.0,software engineer,Software,2.0,2.0,50000.0,21800.483568075117,5000.0
25,91,freelance,"denver, co",US,39.82,-105.1,software engineer,Software,20.0,11.0,190000.0,0.0,0.0
26,95,.gov,"albany, ny",US,42.66,-73.79,architect,Other,18.0,16.0,119000.0,0.0,2000.0
27,103,stronghold data,joplin mo,US,38.0,-97.0,teir two tech,Other,9.0,4.0,38000.0,0.0,1000.0
28,104,self-employed,"jersey city, nj",JE,49.25,-2.17,"consultant, cto as needed",Other,8.0,1.0,325000.0,0.0,0.0
29,109,comcast,"philadelphia, pa",US,39.95,-75.16,python engineer,Engineering,5.0,1.0,138000.0,0.0,0.0
30,112,linkedin,"san jose, ca",US,37.38,-121.89,site reliability engineer,Engineering,4.0,1.0,140000.0,21800.483568075117,14000.0
31,114,nara logics,"cambridge, ma",US,42.35,-71.06,software developer,Software,12.0,4.0,115000.0,21800.483568075117,8066.263736263736
32,118,small b2b company,"barcelona, spain",ES,40.0,-4.0,system administrator,Management,10.0,10.0,1575.0,0.0,3000.0
33,120,microsoft,"redmond, wa",US,47.68,-122.12,software engineer 1,Software,1.0,1.0,105000.0,15000.0,8066.263736263736
34,124,nyc singles looking to fuck,new york city,US,38.0,-97.0,horny,Other,3.0,0.5,420000.0,69.0,69.0
35,125,startup,"san francisco, ca",US,37.77,-122.41,software engineer,Software,2.5,1.0,100000.0,0.0,0.0
36,127,cornell,"ithaca, ny",US,42.44,-76.5,phd student,Other,4.0,4.0,28500.0,0.0,0.0
37,128,microsoft,"redmond, wa",US,47.68,-122.12,sde,Software,4.0,2.0,275000.0,0.0,2.0
38,132,too small to say,"oklahoma city, ok",US,35.46,-97.51,web developer general it,Web,10.0,7.5,88000.0,0.0,8000.0
39,138,analytics company,"raleigh, nc",US,35.82,-78.65,software developer,Software,11.0,2.0,103000.0,21800.483568075117,12000.0
40,142,epic,"verona, wisconsin",US,42.98,-89.53,software developer,Software,4.0,2.0,94000.0,21800.483568075117,2000.0
41,143,evry,"karlstad, sweden",SE,62.0,15.0,consultant,Other,3.0,2.0,380000.0,21800.483568075117,8066.263736263736
42,152,texas tech  system,"lubbock, tx",US,33.57,-101.87,programmer analyst iii,Data,7.0,3.0,55000.0,0.0,0.0
43,153,unc-ch/ncsu joint biomedical engr. dept,"raleigh, nc",US,35.82,-78.65,phd student,Other,4.0,1.0,24073.0,0.0,0.0
